Designator,Mid X,Mid Y,Rotation,Layer
BT1,103.161,-103.378,0.0,bottom
BZ1,89.916,-119.888,0.0,top
C1,94.5,-125.0,270.0,top
C2,96.393,-98.552,0.0,top
C3,119.0,-111.0,0.0,top
C4,125.984,-114.808,90.0,top
C5,123.0,-97.5,180.0,top
D2,83.5,-93.0,90.0,top
J1,120.01,-127.0,270.0,bottom
J2,83.185,-110.49,0.0,bottom
J4,120.8,-83.6,180.0,top
R1,86.0,-93.0,270.0,top
R10,126.0,-101.5,90.0,top
R11,128.0,-101.5875,90.0,top
R12,124.0,-101.5,90.0,top
R13,122.0,-101.5,90.0,top
R14,120.0,-101.5,90.0,top
R15,116.0,-101.5,90.0,top
R2,124.0,-111.0,0.0,top
R3,90.0,-110.0,270.0,top
R4,90.0,-114.0,270.0,top
R5,120.0,-120.015,90.0,top
R6,122.5,-120.0,90.0,top
R9,118.0,-101.5,90.0,top
RDM1,97.12,-76.03,270.0,top
U1,105.7391,-119.41425,180.0,top
U2,119.0,-114.5,0.0,top
U3,104.521,-101.727,270.0,top
